GeoId|Geography|LEAID|Year|Iteration|B02001_1est|B02001_1moe|B02001_2est|B02001_2moe|B02001_3est|B02001_3moe|B02001_4est|B02001_4moe|B02001_5est|B02001_5moe|B02001_6est|B02001_6moe|B02001_7est|B02001_7moe|B02001_8est|B02001_8moe|B02001_9est|B02001_9moe|B02001_10est|B02001_10moe
97000US3616740|Lansingburgh Central School District, NY|3616740|2014-2018||16712|778|13138|774|2243|329|22|27|69|68|0|19|301|183|939|318|23|30|916|316
97000US5507830|Laona School District, WI|5507830|2014-2018||1323|134|1178|117|3|4|77|40|16|13|0|9|0|9|49|41|0|9|49|41
97000US2621180|Lapeer Community Schools, MI|2621180|2014-2018||41755|590|39401|613|949|139|106|61|420|161|18|22|138|75|723|239|108|94|615|223
97000US2717940|Laporte Public School District, MN|2717940|2014-2018||1733|135|1568|116|1|2|129|43|7|7|0|9|0|9|28|16|0|9|28|16
97000US4826220|LaPoyner Independent School District, TX|4826220|2014-2018||3050|458|2648|443|149|77|136|163|7|12|0|13|0|13|110|115|0|13|110|115
97000US1601830|Lapwai School District 341, ID|1601830|2014-2018||3525|235|1472|181|6|11|1791|178|23|24|0|12|18|15|215|80|0|12|215|80
97000US2917880|Laquey R-V School District, MO|2917880|2014-2018||3990|797|3567|789|129|92|34|46|54|60|0|11|0|11|206|167|0|11|206|167
97000US5601980|Laramie County School District 1, WY|5601980|2014-2018||92165|684|81501|986|2354|331|707|193|1090|205|202|166|2863|719|3448|578|539|190|2909|523
97000US5604120|Laramie County School District 2, WY|5604120|2014-2018||5527|684|5390|670|57|65|0|17|0|17|0|17|16|27|64|65|0|17|64|65
95000US1722050|Laraway Community Consolidated School District 70C, IL|1722050|2014-2018||3129|357|1783|260|1100|320|4|7|3|5|0|11|102|120|137|114|0|11|137|114
97000US4826790|Laredo Independent School District, TX|4826790|2014-2018||90519|1877|86828|1984|128|69|246|114|306|172|0|31|2559|483|452|186|204|85|248|158
95000US2917910|Laredo R-VII School District, MO|2917910|2014-2018||482|84|458|82|0|11|22|24|2|8|0|11|0|11|0|11|0|11|0|11
97000US3810860|Larimore Public School District 44, ND|3810860|2014-2018||2496|216|2225|171|16|24|117|73|7|12|0|9|48|53|83|84|0|9|83|84
95000US0620910|Larkspur Elementary School District, CA|0620910|2014-2018||13849|558|12022|617|172|146|49|70|612|213|14|23|358|234|622|242|42|62|580|223
97000US2103180|Larue County School District, KY|2103180|2014-2018||14156|*****|13144|142|507|69|9|14|64|56|0|18|271|151|161|62|10|20|151|57
97000US0805250|Las Animas School District RE-1, CO|0805250|2014-2018||4854|196|4385|190|230|82|72|46|27|21|0|12|81|52|59|35|29|23|30|26
97000US3501500|Las Cruces Public Schools, NM|3501500|2014-2018||154085|1696|134232|2331|3954|357|2090|424|2115|261|61|60|8260|1717|3373|662|762|280|2611|558
95000US0622380|Las Lomitas Elementary School District, CA|0622380|2014-2018||12606|619|9379|639|133|106|31|48|2306|359|0|19|152|158|605|200|2|4|603|200
97000US3501530|Las Vegas City Public Schools, NM|3501530|2014-2018||12763|835|7329|823|282|119|202|84|293|194|59|80|4103|706|495|194|289|170|206|90
97000US0621000|Las Virgenes Unified School District, CA|0621000|2014-2018||65683|1169|54345|1225|1174|378|300|200|5935|777|0|29|1090|385|2839|624|381|182|2458|565
95000US1722080|LaSalle Elementary School District 122, IL|1722080|2014-2018||8727|81|7922|447|54|55|0|15|113|80|17|31|494|401|127|100|15|41|112|88
96000US1722110|LaSalle-Peru Township High School District 120, IL|1722110|2014-2018||28397|360|26726|653|224|152|10|16|250|127|17|31|658|429|512|189|146|109|366|155
97000US4826850|Lasara Independent School District, TX|4826850|2014-2018||1097|234|1052|225|0|13|2|3|0|13|0|13|26|22|17|23|0|13|17|23
96000US0621060|Lassen Union High School District, CA|0621060|2014-2018||25298|445|20812|440|2304|147|706|123|398|58|200|76|360|160|518|130|9|10|509|132
95000US0621090|Lassen View Union Elementary School District, CA|0621090|2014-2018||2949|340|2714|335|0|12|91|58|11|15|0|12|63|51|70|52|29|43|41|26
97000US4826910|Latexo Independent School District, TX|4826910|2014-2018||2414|364|2162|337|84|63|0|13|25|34|0|13|73|62|70|67|0|13|70|67
97000US2917970|Lathrop R-II School District, MO|2917970|2014-2018||5088|522|4826|516|95|72|91|92|8|14|0|15|6|8|62|40|11|14|51|38
97000US0621150|Laton Joint Unified School District, CA|0621150|2014-2018||3336|443|2707|450|0|12|0|12|0|12|0|12|550|219|79|127|0|12|79|127
95000US0621180|Latrobe Elementary School District, CA|0621180|2014-2018||3609|442|3142|441|76|111|0|12|157|204|108|142|81|94|45|53|0|12|45|53
97000US4017190|Latta Public Schools, OK|4017190|2014-2018||3575|307|2483|288|0|9|515|138|0|9|0|9|0|9|577|162|0|9|577|162
97000US2802430|Lauderdale County School District, MS|2802430|2014-2018||38721|31|28531|587|9339|590|116|67|268|183|22|34|111|111|334|154|3|5|331|155
97000US0102010|Lauderdale County School District, AL|0102010|2014-2018||52481|39|49736|454|1537|382|229|147|250|98|0|28|77|72|652|198|41|34|611|189
97000US4702310|Lauderdale County School District, TN|4702310|2014-2018||26297|*****|16395|125|8804|204|198|37|84|59|0|23|215|117|601|219|12|15|589|218
97000US2103210|Laurel County School District, KY|2103210|2014-2018||58930|244|57218|251|499|197|216|118|113|95|0|27|39|39|845|244|201|99|644|220
96000US2121001|Laurel County School District for East Bernstadt ISD, KY|2121001|2014-2018||1250|244|1156|239|61|87|12|12|0|11|0|11|5|9|16|17|0|11|16|17
95000US3016200|Laurel Elementary School District, MT|3016200|2014-2018||11867|583|11454|592|98|84|103|77|0|16|0|16|16|25|196|124|0|16|196|124
96000US3016230|Laurel High School District, MT|3016230|2014-2018||11393|568|10986|573|98|84|103|77|0|16|0|16|16|25|190|124|0|16|190|124
97000US4213320|Laurel Highlands School District, PA|4213320|2014-2018||22823|62|21543|299|505|206|10|17|121|89|0|19|119|120|525|200|0|19|525|200
97000US4213380|Laurel School District, PA|4213380|2014-2018||7900|225|7700|209|3|7|20|24|22|26|0|15|0|15|155|82|10|16|145|80
97000US2802460|Laurel School District, MS|2802460|2014-2018||17895|290|5958|759|11507|803|0|20|51|71|0|20|248|304|131|129|8|13|123|128
97000US1000810|Laurel School District, DE|1000810|2014-2018||15723|794|11972|660|3066|588|85|112|100|94|17|27|149|158|334|148|0|18|334|148
97000US3408280|Laurel Springs Borough School District, NJ|3408280|2014-2018||1907|98|1787|96|23|34|0|12|47|31|0|12|0|12|50|27|0|12|50|27
97000US3100004|Laurel-Concord Public Schools, NE|3100004|2014-2018||1794|143|1761|143|3|4|14|16|0|9|0|9|0|9|16|16|0|9|16|16
97000US3616800|Laurens Central School District, NY|3616800|2014-2018||2805|271|2767|266|16|16|0|12|15|15|5|12|2|3|0|12|0|12|0|12
97000US1301890|Laurens County School District, GA|1301890|2014-2018||31549|45|22671|749|7519|489|30|33|336|164|0|28|739|584|254|112|21|33|233|109
97000US4502610|Laurens School District 55, SC|4502610|2014-2018||37125|967|26095|926|8935|570|100|57|147|81|34|25|820|319|994|278|63|50|931|263
97000US4502640|Laurens School District 56, SC|4502640|2014-2018||21174|695|14422|629|6001|453|0|23|118|63|12|18|259|206|362|191|96|78|266|188
97000US1916420|Laurens-Marathon Community School District, IA|1916420|2014-2018||1973|163|1841|147|37|48|0|9|56|41|0|9|34|25|5|6|0|9|5|6
97000US0508730|Lavaca Public Schools, AR|0508730|2014-2018||5228|463|4608|478|39|43|266|132|0|17|0|17|109|92|206|115|12|19|194|114
97000US3408310|Lavallette Borough School District, NJ|3408310|2014-2018||2161|183|2140|179|0|12|0|12|0|12|0|12|0|12|21|23|0|12|21|23
95000US0404290|Laveen Elementary District, AZ|0404290|2014-2018||51805|1678|29503|1550|9482|1040|812|308|3016|670|124|110|5480|1007|3388|668|1399|473|1989|519
97000US4017220|Laverne Public Schools, OK|4017220|2014-2018||2750|236|2574|244|0|9|17|14|0|9|0|9|116|80|43|30|6|9|37|28
97000US3016290|Lavina K-12 Schools, MT|3016290|2014-2018||395|80|374|74|0|10|0|10|0|10|0|10|0|10|21|17|0|10|21|17
95000US0621210|Lawndale Elementary School District, CA|0621210|2014-2018||48336|973|19571|1546|5040|837|522|379|5384|725|284|296|13847|1494|3688|891|744|279|2944|816
97000US3408340|Lawnside Borough School District, NJ|3408340|2014-2018||2897|19|162|73|2470|133|0|12|26|26|12|17|53|40|174|85|39|36|135|81
97000US1722150|Lawrence County Community Unit District 20, IL|1722150|2014-2018||7830|343|7332|343|10|15|31|40|43|59|0|15|153|106|261|137|19|23|242|139
97000US2103240|Lawrence County School District, KY|2103240|2014-2018||15783|*****|15389|40|87|82|5|13|67|103|0|18|15|18|220|122|18|19|202|120
97000US0500082|Lawrence County School District, AR|0500082|2014-2018||8259|301|7982|314|161|57|15|14|9|7|0|17|15|20|77|47|0|17|77|47
97000US0102040|Lawrence County School District, AL|0102040|2014-2018||33171|*****|25942|191|3627|222|1878|326|44|63|24|34|5|9|1651|414|167|190|1484|370
97000US2802490|Lawrence County School District, MS|2802490|2014-2018||12630|*****|8259|28|4193|105|10|17|16|23|0|20|55|79|97|61|0|20|97|61
97000US4702340|Lawrence County School District, TN|4702340|2014-2018||42937|*****|41010|150|746|90|119|62|229|77|49|53|137|137|647|145|17|24|630|142
97000US2621210|Lawrence Public School District, MI|2621210|2014-2018||3960|217|3372|316|20|21|8|9|5|9|0|10|430|252|125|54|16|17|109|51
97000US2506660|Lawrence School District, MA|2506660|2014-2018||79841|52|41366|2215|3867|679|296|174|1919|551|0|29|30074|2119|2319|649|885|330|1434|558
97000US1805670|Lawrence Township Metropolitan School District, IN|1805670|2014-2018||100272|1321|67922|1565|24968|1764|327|220|1826|508|18|20|1902|618|3309|695|146|110|3163|684
97000US3408370|Lawrence Township School District (Cumberland County), NJ|3408370|2014-2018||3178|19|2352|243|479|210|56|48|0|12|0|12|219|154|72|65|0|12|72|65
97000US3408400|Lawrence Township School District (Mercer County), NJ|3408400|2014-2018||32794|40|23013|874|3766|540|0|25|4841|727|42|44|287|174|845|271|77|65|768|277
97000US2008400|Lawrence Unified School District 497, KS|2008400|2014-2018||99903|402|80705|733|4518|443|2633|335|6050|363|22|24|1289|369|4686|677|346|174|4340|659
97000US3616830|Lawrence Union Free School District, NY|3616830|2014-2018||36451|1041|28050|1526|2664|387|88|92|922|306|0|25|4508|1190|219|123|81|81|138|88
97000US1805700|Lawrenceburg Community School Corporation, IN|1805700|2014-2018||10863|20|10448|200|238|139|7|13|39|59|0|18|100|83|31|35|0|18|31|35
97000US2918220|Lawson R-XIV School District, MO|2918220|2014-2018||5485|547|5383|528|15|22|0|15|0|15|0|15|5|8|82|54|12|16|70|48
